sids,enrolled_courses
1da036ec5b394e58eb93081d1a2fc84c,""""""
c82993cd2c59acd51025f2895b831794,""""""
c004daeb9ff381fa1c587b1a9d6fe78b,""""""
275b6ef86dd6fa010fbb73480d1b3a8a,""""""
9c2b326bc85e741dfd088c2c5a8538d0,""""""
def706393471867f38ee08957a5b8cbd,""""""
60bdf0089d84eab5c53799c80fbc88bb,""""""
c8e6939e1ca51757d44796402944f688,""""""
ce924618b71b4f70ca4d482c6df4fc4e,""""""
26598494f4eb6083e8b6f4910f56a4bb,""""""
7b9288af68b7ab0fa0660bb9d5bc1fe7,""""""
37f0f0b3e7e7e710bddab8ae89b0649e,""""""
1395e3c19fe3d2dd7ccc8f26ad988cae,""""""
ee686f788aef7f3c238017ded87d7cce,""""""
3bbbbf562cf69f570cb591597b73f33f,""""""
811f6155af723dcc116b69e3e5678780,""""""
54416dd1526a6329e1111eba1bc1e3f6,""""""
ac84cb8ce445f3a78d6fbb8a5670aac1,""""""
80e94332ef68eece18493ecf49697303,""""""
fe447e8be4e364756aaf108c369c4e64,""""""
ac3f1892c9a015bbeecb90588c9b4960,""""""
40b1943e33a8bbe3af96a49e0f46e423,""""""
c3adfe2e1ea2f2f4d95909dae01994a6,""""""
d6f77d58157199f1352b79f4677d3101,""""""
1eed6cc79939e6d48ef1c2896fa8c293,""""""
45cc99afe5360bb7d6c5620c0714e154,""""""
92ea6efc26f5ca0aec42fee281d6c4e5,""""""
b4591870f5ef060a35c5abe18de4f917,""""""
d24f736db942ce8c56d4ca2787075f38,""""""
7901753b3d0d23c9b8d58605d07112da,""""""
cd7cb4c211d38f30793ca1d82aad0bd8,""""""
bc5c063992a884ab3a388ee5aab4be6d,""""""
fbf0688fbcea4600a7c0cd1c1f224b14,""""""
ca50212ed910e3c6068e4c07a31dd7c6,""""""
896de6cc19d78f2c0840bcc7c27995dd,""""""
232b275f72257198ef906c27faa0a32c,""""""
7820f7244b0a21c152b825fce3a9fc33,""""""
0f60b9836228b2707566045429fdff76,""""""
7fb72cd174b8b1d6afaea9661519f4b6,""""""
3ee910856c42469a0a4807c14c23cd52,""""""
e9c4ae3efc4d2ab5beac93af8c429008,""""""
4616fd5cfcac744e8785a3fd8743bee1,""""""
7d8795518ae905e5592ed2fbd8a9897d,""""""
2e73dcdb3445c401a7ba9548297e8407,""""""
a6a275a24071e3016092528a6cb18388,""""""
0a3d7431a83e02412d89dbb268560e68,""""""
f838e4b505201cc50b1dc7e021c7e439,""""""
fab4c5fa81228de5a18e1214d30048a8,""""""
3e92c1751ef5cdb177f354c558e02a16,""""""
bb00fa6d1aeff6032ae6c9a43bf8d09f,""""""
0fc99bdf7a771abf0ec9e22b619d1498,""""""
15d89f74e24433ec258c8800182139ec,""""""
585cc50c2cb78cd90b21b689231c100d,""""""
b2e03a9a354c3dedae5b42e9eb49ae70,""""""
7d3f32b0832551bf79fd026a8ec1fd32,""""""
da303103e94b4510302c314d9c04373f,""""""
edafdb7b304ad1968eb94d6cf42237a2,""""""
3c542376b9437571cece5f4c3b566a13,""""""
66f9d2769a30994279ff0acf659b712b,""""""
653dbe033dc81a512c9423d8094a1d24,""""""
ece5fae9ea1d1c722ea0b08b3fd6a7b0,""""""
3a7b3c46a2cc49131bc11731fe5b1fd5,""""""
48926acf356e8862bfac246044706a21,""""""
fd254cb6f834ea6a098f75b899404b18,""""""
00d9b72469de9e32a6ac9c7c8323c876,""""""
de0b5badce247d5b029e41f6ac8fe0a6,""""""
7b62ad07c3be60cf11f10508579bae65,""""""
c64a05c2075328ce3c6782bb195e3469,""""""
7b90c45f084c1a3d0d955d37b7b9ae72,""""""
9a07b66230d481b88c97524b12fd6e31,""""""
040ad25f417a68a647b87410578cf1e2,""""""
733ee5977ba614b5178c4a6e64b38f09,""""""
279333cfb234ed70e757b57b9818f0a7,""""""
e20c198779fd7396d71fdd6907fca9c3,""""""
3b86597297571abcf7767bd00659ccc0,""""""
2f064c29f4853f9cc47480b6885ad6bc,""""""
4fedd59d50acb8c9effb6946d649f550,"[""ef9d7813d12149b672b574cb59a562ed""]"
e609fd79d9de99d55fdd9e620a47e1e0,""""""
077769e13483972ffce12e4e23735d10,""""""
1f4ef12a1b2e3cb3d1b07e86dd182a7b,""""""
7c74e3892b8aa93c7553c05dd0e5ee0f,""""""
0648ed5e489d4e8b97d69631b77f6715,""""""
defb13f65589d288ef9c1e4f04a4ffed,""""""
d0aa4b7c474f17ddfacbbb92b80d5cbd,""""""
9b9f6b130b40cec9cf0457fbac964755,""""""
b7bb14c433643f123db2243b584c402f,""""""
